location,date,PM2.5_ground,PM10_ground,NO2_ground,SO2_ground,CO_ground,O3_ground
"Anand Vihar, Delhi - DPCC",2020-01-01,367.38,449.58,54.76,10.76,3.65,60.06
"Anand Vihar, Delhi - DPCC",2020-01-02,360.34,463.33,61.22,21.3,4.13,63.83
"Anand Vihar, Delhi - DPCC",2020-01-03,394.86,500.24,46.96,22.12,2.93,65.94
"Anand Vihar, Delhi - DPCC",2020-01-04,204.94,359.77,90.79,4.96,0.92,63.17
"Anand Vihar, Delhi - DPCC",2020-01-05,186.4,313.4,69.24,11.1,1.96,62.89
"Anand Vihar, Delhi - DPCC",2020-01-06,171.8,290.19,62.39,17.4,2.34,66.44
"Anand Vihar, Delhi - DPCC",2020-01-07,143.41,218.67,41.79,16.19,1.69,63.24
"Anand Vihar, Delhi - DPCC",2020-01-08,144.91,167.73,37.43,11.75,1.82,62.42
"Anand Vihar, Delhi - DPCC",2020-01-09,115.28,233.82,44.79,7.95,2.11,64.16
"Anand Vihar, Delhi - DPCC",2020-01-10,148.54,323.3,53.81,10.49,2.21,64.27
"Anand Vihar, Delhi - DPCC",2020-01-11,164.77,340.71,70.69,12.09,2.66,64.01
"Anand Vihar, Delhi - DPCC",2020-01-12,260.68,335.325,73.67,11.6,3.83,64.42
"Anand Vihar, Delhi - DPCC",2020-01-13,259.22,329.94,54.47,3.86,2.68,59.43
"Anand Vihar, Delhi - DPCC",2020-01-14,143.28,213.71,38.74,7.66,1.95,61.36
"Anand Vihar, Delhi - DPCC",2020-01-15,118.38,199.33,46.55,8.78,1.27,60.22
"Anand Vihar, Delhi - DPCC",2020-01-16,164.31,206.66,37.45,9.3,1.89,62.72
"Anand Vihar, Delhi - DPCC",2020-01-17,107.94,157.35,38.99,6.29,1.54,64.82
"Anand Vihar, Delhi - DPCC",2020-01-18,173.46,345.44,72.29,4.43,2.11,33.18
"Anand Vihar, Delhi - DPCC",2020-01-19,153.73,261.58,54.86,3.92,1.69,12.15
"Anand Vihar, Delhi - DPCC",2020-01-20,181.78,314.54,63.04,7.51,5.1,12.09
"Anand Vihar, Delhi - DPCC",2020-01-21,243.19,407.08,61.38,4.17,1.54,11.9
"Anand Vihar, Delhi - DPCC",2020-01-22,237.3,361.8,58.79,4.43,1.87,12.04
"Anand Vihar, Delhi - DPCC",2020-01-23,75.68,172.33,51.28,4.95,2.18,12.24
"Anand Vihar, Delhi - DPCC",2020-01-24,90.76,256.7,81.66,12.49,4.2,13.6
"Anand Vihar, Delhi - DPCC",2020-01-25,157.4,348.93,91.07,9.24,2.91,13.52
"Anand Vihar, Delhi - DPCC",2020-01-26,292.98,519.9,85.09,10.34,2.28,18.26
"Anand Vihar, Delhi - DPCC",2020-01-27,243.76,455.74,91.98,11.27,4.0,19.82
"Anand Vihar, Delhi - DPCC",2020-01-28,105.54,153.68,52.73,11.61,2.4,21.37
"Anand Vihar, Delhi - DPCC",2020-01-29,83.0,168.33,56.09,5.79,3.35,18.37
"Anand Vihar, Delhi - DPCC",2020-01-30,82.72,181.35,55.98,8.24,2.58,22.0
"Anand Vihar, Delhi - DPCC",2020-01-31,91.51,230.59,71.52,7.47,2.26,20.73
"Anand Vihar, Delhi - DPCC",2020-02-01,129.92,269.08,67.66,8.24,2.13,20.26
"Anand Vihar, Delhi - DPCC",2020-02-02,123.57,234.81,78.81,7.29,1.39,23.64
"Anand Vihar, Delhi - DPCC",2020-02-03,154.76,343.36,90.55,10.3,3.13,24.4
"Anand Vihar, Delhi - DPCC",2020-02-04,207.44,401.58,79.68,13.59,1.25,51.02
"Anand Vihar, Delhi - DPCC",2020-02-05,134.67,304.81,82.08,12.28,3.13,25.93
"Anand Vihar, Delhi - DPCC",2020-02-06,132.27,276.07,77.69,8.9,2.08,24.84
"Anand Vihar, Delhi - DPCC",2020-02-07,163.43,267.72,90.87,12.21,2.29,44.35
"Anand Vihar, Delhi - DPCC",2020-02-08,145.22,290.78,74.63,3.13,2.2,29.26
"Anand Vihar, Delhi - DPCC",2020-02-09,149.97,293.99,90.57,11.55,2.47,27.02
"Anand Vihar, Delhi - DPCC",2020-02-10,177.03,380.38,59.12,7.82,2.39,26.92
"Anand Vihar, Delhi - DPCC",2020-02-11,183.51,387.12,103.47,8.08,2.23,25.79
"Anand Vihar, Delhi - DPCC",2020-02-12,173.85,356.26,87.96,7.89,2.26,25.62
"Anand Vihar, Delhi - DPCC",2020-02-13,100.4,228.32,71.11,9.57,2.09,29.87
"Anand Vihar, Delhi - DPCC",2020-02-14,85.3,195.38,53.22,6.45,1.56,37.11
"Anand Vihar, Delhi - DPCC",2020-02-15,85.38,244.33,88.72,5.9,1.32,40.28
"Anand Vihar, Delhi - DPCC",2020-02-16,137.73,300.77,90.91,4.0,1.81,29.86
"Anand Vihar, Delhi - DPCC",2020-02-17,193.53,386.87,100.12,2.52,2.41,23.55
"Anand Vihar, Delhi - DPCC",2020-02-18,131.36,299.31,110.77,9.75,2.92,26.01
"Anand Vihar, Delhi - DPCC",2020-02-19,145.83,367.08,74.84,8.54,2.51,33.52
"Anand Vihar, Delhi - DPCC",2020-02-20,103.22,233.49,36.7,7.78,1.48,15.08
