date,NO2_satellite,SO2_satellite,CO_satellite,O3_satellite,Aerosol_Index_satellite,location,PM2.5_ground,PM10_ground,NO2_ground,SO2_ground,CO_ground,O3_ground
2020-01-01,0.000191017,-0.000432994,0.048550159,0.164568126,-1.098919272,"Anand Vihar, Delhi",367.38,449.58,54.76,10.76,3.65,60.06
2020-01-02,0.000191017,-0.000432994,0.048550159,0.164568126,-1.098919272,"Anand Vihar, Delhi",360.34,463.33,61.22,21.3,4.13,63.83
2020-01-03,0.000143035,0.000545728,0.041712284,0.139937222,-1.405038238,"Anand Vihar, Delhi",394.86,500.24,46.96,22.12,2.93,65.94
2020-01-04,0.0001429275,-0.000314788,0.044633403,0.137428784,-1.210190017,"Anand Vihar, Delhi",204.94,359.77,90.79,4.96,0.92,63.17
2020-01-05,0.00014282,-0.000530775,0.045669291,0.128114909,-0.864200711,"Anand Vihar, Delhi",186.4,313.4,69.24,11.1,1.96,62.89
2020-01-06,0.00014675775,-0.00041513125,0.04515892625,0.121408202,-0.925492942,"Anand Vihar, Delhi",171.8,290.19,62.39,17.4,2.34,66.44
2020-01-07,0.0001506955,-0.0002994875,0.0446485615,0.122558974,-0.540532589,"Anand Vihar, Delhi",143.41,218.67,41.79,16.19,1.69,63.24
2020-01-08,0.00015463325,-0.00018384375,0.04413819675,0.124403726,0.490476079,"Anand Vihar, Delhi",144.91,167.73,37.43,11.75,1.82,62.42
2020-01-09,0.000158571,-6.82e-05,0.043627832,0.121491358,-1.852961779,"Anand Vihar, Delhi",115.28,233.82,44.79,7.95,2.11,64.16
2020-01-10,0.000253007,0.000622388,0.044657398,0.116491796,-1.298125153,"Anand Vihar, Delhi",148.54,323.3,53.81,10.49,2.21,64.27
2020-01-11,0.000213984,0.000636706,0.044869464,0.114940427,-0.893136186,"Anand Vihar, Delhi",164.77,340.71,70.69,12.09,2.66,64.01
2020-01-12,0.0001833879999999,0.00055281925,0.0451229066666666,0.118790686,-0.863582066,"Anand Vihar, Delhi",260.68,335.325,73.67,11.6,3.83,64.42
2020-01-13,0.000152792,0.0004689325,0.0453763493333333,0.122640945,-0.834027946,"Anand Vihar, Delhi",259.22,329.94,54.47,3.86,2.68,59.43
2020-01-14,0.000122196,0.00038504575,0.045629792,0.133632675,-1.640458941,"Anand Vihar, Delhi",143.28,213.71,38.74,7.66,1.95,61.36
2020-01-15,9.16e-05,0.000301159,0.038211956,0.133784422,-2.05450991,"Anand Vihar, Delhi",118.38,199.33,46.55,8.78,1.27,60.22
2020-01-16,0.000131863,-1.5453333333333608e-06,0.041431344,0.135832708,-1.979105613,"Anand Vihar, Delhi",164.31,206.66,37.45,9.3,1.89,62.72
