Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,,,,
From Date,To Date,PM2.5,PM10,NO2,SO2,CO,Ozone,Location,,,,
01-01-2020 00:00,02-01-2020 00:00,367.38,449.58,54.76,10.76,3.65,60.06,"Anand Vihar, Delhi - DPCC",,,,
02-01-2020 00:00,03-01-2020 00:00,360.34,463.33,61.22,21.3,4.13,63.83,"Anand Vihar, Delhi - DPCC",,,,
03-01-2020 00:00,04-01-2020 00:00,394.86,500.24,46.96,22.12,2.93,65.94,"Anand Vihar, Delhi - DPCC",,,,
04-01-2020 00:00,05-01-2020 00:00,204.94,359.77,90.79,4.96,0.92,63.17,"Anand Vihar, Delhi - DPCC",,,,
05-01-2020 00:00,06-01-2020 00:00,186.4,313.4,69.24,11.1,1.96,62.89,"Anand Vihar, Delhi - DPCC",,,,
06-01-2020 00:00,07-01-2020 00:00,171.8,290.19,62.39,17.4,2.34,66.44,"Anand Vihar, Delhi - DPCC",,,,
07-01-2020 00:00,08-01-2020 00:00,143.41,218.67,41.79,16.19,1.69,63.24,"Anand Vihar, Delhi - DPCC",,,,
08-01-2020 00:00,09-01-2020 00:00,144.91,167.73,37.43,11.75,1.82,62.42,"Anand Vihar, Delhi - DPCC",,,,
09-01-2020 00:00,10-01-2020 00:00,115.28,233.82,44.79,7.95,2.11,64.16,"Anand Vihar, Delhi - DPCC",,,,
10-01-2020 00:00,11-01-2020 00:00,148.54,323.3,53.81,10.49,2.21,64.27,"Anand Vihar, Delhi - DPCC",,,,
11-01-2020 00:00,12-01-2020 00:00,164.77,340.71,70.69,12.09,2.66,64.01,"Anand Vihar, Delhi - DPCC",,,,
12-01-2020 00:00,13-01-2020 00:00,260.68,None,73.67,11.6,3.83,64.42,"Anand Vihar, Delhi - DPCC",,,,
13-01-2020 00:00,14-01-2020 00:00,259.22,329.94,54.47,3.86,2.68,59.43,"Anand Vihar, Delhi - DPCC",,,,
14-01-2020 00:00,15-01-2020 00:00,143.28,213.71,38.74,7.66,1.95,61.36,"Anand Vihar, Delhi - DPCC",,,,
15-01-2020 00:00,16-01-2020 00:00,118.38,199.33,46.55,8.78,1.27,60.22,"Anand Vihar, Delhi - DPCC",,,,
16-01-2020 00:00,17-01-2020 00:00,164.31,206.66,37.45,9.3,1.89,62.72,"Anand Vihar, Delhi - DPCC",,,,
17-01-2020 00:00,18-01-2020 00:00,107.94,157.35,38.99,6.29,1.54,64.82,"Anand Vihar, Delhi - DPCC",,,,
18-01-2020 00:00,19-01-2020 00:00,173.46,345.44,72.29,4.43,2.11,33.18,"Anand Vihar, Delhi - DPCC",,,,
