date,NO2,SO2,CO,O3,Aerosol_Index,location
01-01-2020,,,,,,"Anand Vihar, Delhi"
02-01-2020,0.000191017,-0.000432994,0.048550159,0.164568126,-1.098919272,"Anand Vihar, Delhi"
03-01-2020,0.000143035,0.000545728,0.041712284,0.139937222,-1.405038238,"Anand Vihar, Delhi"
04-01-2020,,-0.000314788,0.044633403,0.137428784,-1.210190017,"Anand Vihar, Delhi"
05-01-2020,0.00014282,-0.000530775,0.045669291,0.128114909,-0.864200711,"Anand Vihar, Delhi"
06-01-2020,,,,0.121408202,-0.925492942,"Anand Vihar, Delhi"
07-01-2020,,,,0.122558974,-0.540532589,"Anand Vihar, Delhi"
08-01-2020,,,,0.124403726,0.490476079,"Anand Vihar, Delhi"
09-01-2020,0.000158571,-6.82E-05,0.043627832,0.121491358,-1.852961779,"Anand Vihar, Delhi"
10-01-2020,0.000253007,0.000622388,0.044657398,0.116491796,-1.298125153,"Anand Vihar, Delhi"
11-01-2020,0.000213984,0.000636706,0.044869464,0.114940427,-0.893136186,"Anand Vihar, Delhi"
12-01-2020,,,,,,"Anand Vihar, Delhi"
13-01-2020,,,,0.122640945,-0.834027946,"Anand Vihar, Delhi"
14-01-2020,,,0.045629792,0.133632675,-1.640458941,"Anand Vihar, Delhi"
15-01-2020,9.16E-05,0.000301159,0.038211956,0.133784422,-2.05450991,"Anand Vihar, Delhi"
16-01-2020,,,,,,"Anand Vihar, Delhi"
17-01-2020,,,,,,"Anand Vihar, Delhi"
18-01-2020,0.000212389,-0.000606954,0.04787012,0.13992928,-1.828297019,"Anand Vihar, Delhi"
19-01-2020,0.000211359,,0.046045564,0.139942806,-1.732799712,"Anand Vihar, Delhi"
20-01-2020,,,,0.134782657,-1.999091744,"Anand Vihar, Delhi"
21-01-2020,,,0.040376991,0.132965497,-1.030428647,"Anand Vihar, Delhi"
22-01-2020,,,,0.135306254,-0.56071198,"Anand Vihar, Delhi"
23-01-2020,0.000109386,1.50E-05,,0.131600501,-1.084421794,"Anand Vihar, Delhi"
24-01-2020,0.000180585,,0.041077115,0.128409997,-1.151008844,"Anand Vihar, Delhi"
25-01-2020,0.000385837,0.000469085,0.046744991,0.127078201,-1.492843081,"Anand Vihar, Delhi"
26-01-2020,0.000157295,-9.74E-05,0.045627929,0.123946898,-1.200549722,"Anand Vihar, Delhi"
27-01-2020,,,,0.124114353,-1.250485827,"Anand Vihar, Delhi"
28-01-2020,,,,,,"Anand Vihar, Delhi"
29-01-2020,0.000105352,0.000518233,,0.128044456,-1.458362699,"Anand Vihar, Delhi"
30-01-2020,0.000150386,0.000118005,0.038924873,0.128652498,-1.444930792,"Anand Vihar, Delhi"
02-02-2020,,,,,,"Anand Vihar, Delhi"
03-02-2020,0.000255605,-5.81E-05,0.04889259,0.126642644,-1.211352587,"Anand Vihar, Delhi"
04-02-2020,0.000213677,-0.000947443,,0.136968955,-1.35844171,"Anand Vihar, Delhi"
05-02-2020,0.000223037,0.00016993,,0.130095705,-2.126556158,"Anand Vihar, Delhi"
06-02-2020,0.000258174,0.00224685,0.048400261,0.13456744,-1.287654393,"Anand Vihar, Delhi"
07-02-2020,,,0.051213145,0.143083383,-0.42465172,"Anand Vihar, Delhi"
08-02-2020,9.57E-05,0.000988678,0.045714831,0.142251763,-1.265805715,"Anand Vihar, Delhi"
09-02-2020,,,,,,"Anand Vihar, Delhi"
10-02-2020,0.000227768,0.000421361,0.043031253,0.125599027,-1.52038002,"Anand Vihar, Delhi"
11-02-2020,0.000302544,-0.000363832,0.051601231,0.122888037,-1.194703575,"Anand Vihar, Delhi"
12-02-2020,9.03E-05,0.000593312,0.047137823,0.119755358,-0.52594018,"Anand Vihar, Delhi"
13-02-2020,0.000178265,-0.000865851,0.043384071,0.124730535,-0.911215901,"Anand Vihar, Delhi"
14-02-2020,,,,,,"Anand Vihar, Delhi"
16-02-2020,0.000145537,0.001049712,0.04315109,0.135486886,-1.137262344,"Anand Vihar, Delhi"
17-02-2020,0.000130591,-0.000120772,0.03761071,0.137841254,-1.058029056,"Anand Vihar, Delhi"
18-02-2020,,,,,,"Anand Vihar, Delhi"
19-02-2020,,,,,,"Anand Vihar, Delhi"
20-02-2020,8.32E-05,-0.000401638,0.043771901,0.152514637,-0.921762526,"Anand Vihar, Delhi"
21-02-2020,,,,0.149162894,0.130442201,"Anand Vihar, Delhi"
22-02-2020,,0.000133665,0.052929111,0.137564581,-0.95390949,"Anand Vihar, Delhi"
